web-scraper-order,web-scraper-start-url,Daftar singgah di canggu,Daftar singgah di canggu-href,Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location,Daftar sinngah dibingin,Daftar sinngah dibingin-href,daftar singgah di jimbaran,daftar singgah di jimbaran-href,Daftar singgah di ungasan,Daftar singgah di ungasan-href,daftar singgah di sidemen dan kintamani,daftar singgah di sidemen dan kintamani-href,daftar singgah di uluwatu,daftar singgah di uluwatu-href,Daftar singgah di pererenan,Daftar singgah di pererenan-href,Daftar singgah di seminyak,Daftar singgah di seminyak-href,Daftar singgah diubud,Daftar singgah diubud-href,daftar singgah di nusa dua,daftar singgah di nusa dua-href
1750282466-6,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Penginapan Elegan di Uluwatu dengan Kolam Renang untuk Bersantai,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.9,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,4.9,4.9,4.4,4.9,¥ 11.505,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1216998165540502477?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216694367&source_impression_id=p3_1750282336_P3B4wVyPQpImnMnu&previous_page_section_name=1000,,,,,,,,
1750282486-7,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Sunset Magic at Uluwatu's Hidden Rooftop Paradise,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.67,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,5.0,4.9,4.8,4.9,4.7,4.7,¥ 11.980,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1230790637766132659?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216694710&source_impression_id=p3_1750282336_P3gl5wRkJdX2fnES&previous_page_section_name=1000,,,,,,,,
1750282506-8,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Surga Tersembunyi Uluwatu: Lounge & Kolam Renang Atap,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.95,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,5.0,5.0,4.9,4.9,4.7,4.9,¥ 9.146,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1217039133569857886?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216694882&source_impression_id=p3_1750282336_P36Y2ZKjpGiDSCEt&previous_page_section_name=1000,,,,,,,,
1750282526-9,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Ruang Uluwatu yang dipenuhi sinar matahari dengan Kolam Renang Santai,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.91,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,4.9,4.9,4.7,4.9,¥ 7.694,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1217036253246537818?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216694974&source_impression_id=p3_1750282336_P3xXqvCco2uFRfY1&previous_page_section_name=1000,,,,,,,,
1750282546-10,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Kamar Bali Autentik Menit dari Pura Uluwatu,"Kamar pribadi di guesthouse di Uluwatu, Indonesia",4.67,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.7,4.6,4.6,¥ 18.375,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/15399711?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387837961&source_impression_id=p3_1750282336_P3FQfK4nT4VKWlZd&previous_page_section_name=1000,,,,,,,,
1750282566-11,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Tucked - Away Retreat Near Uluwatu Temple & Beaches,"Kamar di Kuta Selatan, Indonesia",4.74,2 kamar tidur ·  · 2 tempat tidur king ·  · Kamar mandi pribadi di kamar,4.7,4.7,4.7,4.5,4.1,4.7,¥ 34.372,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1306988384794653386?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387841883&source_impression_id=p3_1750282336_P3v7kS1zCvyQ328b&previous_page_section_name=1000,,,,,,,,
1750282586-12,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,"Penginapan Uluwatu Teratas untuk Peselancar, Penggemar Makanan & Relaksasi","Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.63,2 tamu ·  · 1 kamar tidur ·  · 2 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.9,4.9,4.7,¥ 12.058,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1314942708904991718?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004444126290&source_impression_id=p3_1750282336_P3DjezuuQOs5TbxB&previous_page_section_name=1000,,,,,,,,
1750282607-13,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Sunset Escape in Uluwatu: Near Surf Spots & Cafés,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.83,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,4.9,4.9,4.7,4.7,¥ 13.374,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1314851519329937359?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004444127606&source_impression_id=p3_1750282336_P3DOjO9OZm4g2719&previous_page_section_name=1000,,,,,,,,
1750282627-14,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Penginapan Uluwatu di Dekat Pantai Thomas – Permata Tersembunyi Sejati,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,5.0,4.9,4.9,4.9,4.8,4.8,¥ 13.558,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1278725264876675173?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004444128722&source_impression_id=p3_1750282336_P3-rFZam57bCU0tv&previous_page_section_name=1000,,,,,,,,
1750282647-15,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Liburan Uluwatu Terbaik: 5 Menit Berjalan Kaki ke Pantai Thomas,"Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.83,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,5.0,4.9,4.8,4.8,¥ 13.858,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1278706608218916850?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004444129133&source_impression_id=p3_1750282336_P3BE_xoi0gs0PTtO&previous_page_section_name=1000,,,,,,,,
1750282667-16,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,"Penginapan Uluwatu Pusat Dekat Pantai, Kafe & Berselancar","Kamar pribadi di guesthouse di Kecamatan Kuta Selatan, Indonesia",4.8,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.7,4.9,4.7,4.8,¥ 8.550,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1278679994851184014?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004444129527&check_in=2026-02-02&check_out=2026-02-03&source_impression_id=p3_1750282336_P3mRRF5sCstXva0U&previous_page_section_name=1000,,,,,,,,
1750282687-17,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Liburan Impian Baru dengan Kolam Renang di Dekat Pura Uluwatu,"Seluruh vila di Kuta Selatan, Indonesia",4.8,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,5.0,4.8,4.8,4.8,4.6,4.8,¥ 64.694,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1409841882865504736?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004963946608&source_impression_id=p3_1750282336_P3KG3me44UTK1LfZ&previous_page_section_name=1000,,,,,,,,
1750284369-1,https://id.airbnb.com/wishlists/v/1636255051?view_only_token=203ab70e-6ad4-43c2-821b-71688bc08b3d,,,Liburan Matahari Terbenam di Atap untuk Keluarga di Pererenan,"Kecamatan Mengwi, Bali, Indonesia",4.71,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 2,5 kamar mandi",4.7,4.8,4.8,4.8,4.5,4.8,¥ 19.113,untuk 1 malam,5. Pererenan,,,,,,,,,,,,https://id.airbnb.com/rooms/1129250696000518878?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216715875&source_impression_id=p3_1750284330_P3tY7lWfHvIPQN43&previous_page_section_name=1000,,,,,,
1750284389-2,https://id.airbnb.com/wishlists/v/1636255051?view_only_token=203ab70e-6ad4-43c2-821b-71688bc08b3d,,,Vila Mezzanine yang Indah di Sawah Pererenan,"Kecamatan Mengwi, Bali, Indonesia",4.63,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.8,4.8,4.6,4.7,4.7,¥ 21.018,untuk 2 malam,5. Pererenan,,,,,,,,,,,,https://id.airbnb.com/rooms/1330817027279969015?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004466321451&source_impression_id=p3_1750284330_P3aYPgXcKxUYF5E9&previous_page_section_name=1000,,,,,,
1750283883-1,https://www.airbnb.co.id/wishlists/v/1606479914?view_only_token=20786307-2eda-4ef8-a808-4a446eef444e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Luxe Dekat Seminyak dengan Kolam Renang Air Laut Pribadi,"Kecamatan Kuta Utara, Bali, Indonesia",4.89,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.9,5.0,5.0,4.9,4.6,4.9,¥ 22.903,untuk 1 malam,6. Seminyak,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/918743380374183904?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044522105&source_impression_id=p3_1750283845_P3Ml2VI4588sv0j0&previous_page_section_name=1000,,,,
1750283903-2,https://www.airbnb.co.id/wishlists/v/1606479914?view_only_token=20786307-2eda-4ef8-a808-4a446eef444e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Refined Luxury Villa Near Seminyak w/ Sports Court,"Kecamatan Kuta Utara, Bali, Indonesia",4.88,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.9,4.9,4.8,4.8,4.6,4.8,¥ 96.041,untuk 2 malam,6. Seminyak,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1027772232491996045?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044522274&source_impression_id=p3_1750283845_P37MmktzetJ9jgxv&previous_page_section_name=1000,,,,
1750283923-3,https://www.airbnb.co.id/wishlists/v/1606479914?view_only_token=20786307-2eda-4ef8-a808-4a446eef444e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Bergaya untuk Rombongan di Dekat Tempat Populer Seminyak,"Kecamatan Kuta Utara, Bali, Indonesia",4.88,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,5.0,4.8,4.9,4.8,¥ 53.742,untuk 2 malam,6. Seminyak,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1286692640967698512?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216710233&source_impression_id=p3_1750283845_P3qgEwGmO4TSpnWZ&previous_page_section_name=1000,,,,
1750474487-1,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Placid Nature Haven dengan Kolam Pribadi | Ubud Tengah,"Ubud, Bali, Indonesia",4.52 ,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.4,4.6,4.7,4.7,4.4,4.6,¥ 16.426,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/38985087?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044430811&source_impression_id=p3_1750474449_P3rlk_hdwUcY1IfV&previous_page_section_name=1000,,
1750474508-2,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Penginapan Ubud Dengan Kolam Renang Infinity & Pemandangan Hutan yang Rimbun,"Ubud, Bali, Indonesia",4.88 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.9,4.8,4.9,4.7,4.8,¥ 45.923,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/950310466851839780?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044431054&source_impression_id=p3_1750474449_P3jhBCex32YtOpwv&previous_page_section_name=1000,,
1750474528-3,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Ubud's Escape: Modern Villa w/Jungle - View Hot Tub,"Ubud, Bali, Indonesia",4.0 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.0,5.0,4.3,5.0,3.7,4.3,,tidak tersedia,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1172112676585802971?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044433891&source_impression_id=p3_1750474449_P3Ce0bwMpDzhSACy&previous_page_section_name=1000,,
1750474548-4,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Ubud Jungle Oasis: Bak Mandi Air Panas Pribadi untuk Bersantai.,"Ubud, Bali, Indonesia",4.52 ,1 tempat tidur queen ·  · Kamar mandi pribadi di kamar,4.3,4.6,4.8,4.6,4.5,4.6,,tidak tersedia,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1172005532786900073?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044434249&source_impression_id=p3_1750474449_P3ISEDLA_IgTVIiA&previous_page_section_name=1000,,
1750474568-5,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Whispering Woods Villa: Liburan Damai dengan Kolam Renang,"Ubud, Bali, Indonesia",4.53 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.5,4.5,4.6,4.9,4.4,4.6,¥ 8.841,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1161202980938286130?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044435208&source_impression_id=p3_1750474449_P3xLEN8JqSIWwsQZ&previous_page_section_name=1000,,
1750474588-6,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Liburan Alam Pribadi Ubud dengan Pemandangan Hutan,"Ubud, Bali, Indonesia",4.83 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.7,4.8,4.8,4.9,4.6,4.9,¥ 12.228,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1052669853439193132?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044435388&source_impression_id=p3_1750474449_P3wajwXfnHejMQDu&previous_page_section_name=1000,,
1750474608-7,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Tenang dengan Kolam Renang Pribadi di Ubud Lush Embrace,"Kabupaten Gianyar, Bali, Indonesia",4.87 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.8,4.8,4.8,4.6,4.8,¥ 32.769,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1067878902311551350?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044435979&source_impression_id=p3_1750474449_P3bOdAJGQRGLU547&previous_page_section_name=1000,,
1750474628-8,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Kolam Renang Pribadi di Emerald Paradise Ubud,"Kabupaten Gianyar, Bali, Indonesia",4.78 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.8,4.7,4.8,4.5,4.7,¥ 13.380,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1067747914466278335?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044443061&source_impression_id=p3_1750474449_P38AFwqZYf0iCo_c&previous_page_section_name=1000,,
1750474648-9,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Liburan Pasangan di Sawah Ubud yang Menakjubkan,"Kecamatan Tegallalang, Bali, Indonesia",4.94 ,"2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1,5 kamar mandi",4.9,4.9,4.8,4.8,4.7,4.8,¥ 40.392,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1235989579621843460?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044453060&source_impression_id=p3_1750474449_P3JoaW2tWHCK7uZe&previous_page_section_name=1000,,
1750474668-10,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Harmonious Ubud Retreat Poolside Villa for Couples,"Kecamatan Ubud, Bali, Indonesia",4.88 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 2 kamar mandi,5.0,4.9,4.9,4.9,4.5,4.9,¥ 32.839,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1320042662255771332?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387904096&source_impression_id=p3_1750474449_P31fp50HkrRWup38&previous_page_section_name=1000,,
1750474688-11,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Blissful Ubud Pool Room w/ Leafy Garden Scenery,"Kecamatan Ubud, Bali, Indonesia",4.83 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.8,4.8,¥ 6.466,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/41775986?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387906936&source_impression_id=p3_1750474449_P3_GjsyeW9zjLdMe&previous_page_section_name=1000,,
1750474708-12,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Bali di Surga Keluarga Ubud dengan Kolam Renang,"Kecamatan Ubud, Bali, Indonesia",Baru,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,0.0,0.0,0.0,0.0,0.0,0.0,¥ 17.703,untuk 1 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1299631161288662577?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387908905&source_impression_id=p3_1750474449_P3y8fFnlqsUdIS0z&previous_page_section_name=1000,,
1750474728-13,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Penginapan Tepi Kolam Ubud Autentik di Antara Sawah,"Kecamatan Tegallalang, Bali, Indonesia",4.92 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.9,4.8,4.8,4.8,4.8,¥ 32.174,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1319266732691584961?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387909921&source_impression_id=p3_1750474449_P3kmTfd0Xta5NnHB&previous_page_section_name=1000,,
1750474748-14,https://www.airbnb.co.id/wishlists/v/1606465213?view_only_token=bee6758a-13c5-4874-8c91-5d16f258024f&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Villa Desainer Touches di Ubud dengan Pemandangan Rimba,"Kecamatan Ubud, Bali, Indonesia",5.0 ,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,5.0,5.0,5.0,4.8,4.8,5.0,¥ 132.534,untuk 2 malam,8. Ubud,,,,,,,,,,,,,,,,https://www.airbnb.co.id/rooms/1338046513545783704?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004698092981&source_impression_id=p3_1750474449_P3uCNq3kTQiKSQuo&previous_page_section_name=1000,,
1750361407-1,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Liburan Sempurna untuk Keluarga di Dekat Pantai Pandawa,"Kecamatan Kuta Selatan, Bali, Indonesia",4.75,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.7,4.6,4.8,4.0,4.7,¥ 32.143,untuk 2 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/1214993527674328165?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004155317129&source_impression_id=p3_1750361369_P3ITfiAk8Q20ii93&previous_page_section_name=1000
1750361428-2,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Vila Mewah Tepi Laut di Nusa Dua dengan Pantai Pribadi,"Nusa Dua, South Kuta, Bali, Indonesia",4.77,8 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.9,4.8,4.5,4.6,¥ 89.729,untuk 1 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/6384209?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004155318069&source_impression_id=p3_1750361369_P3YLUlefdF9-JJ9s&previous_page_section_name=1000
1750361448-3,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Ultimate Nusa Dua Seafront Villa dengan Private Beach,"Nusa Dua, Bali, Indonesia",4.84,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 4 kamar mandi,4.8,4.9,4.9,4.6,4.5,4.8,¥ 159.118,untuk 2 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/945876?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004155318275&source_impression_id=p3_1750361369_P3A2iiTIeviiaUYX&previous_page_section_name=1000
1750361468-4,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Vila Keluarga Cita Rasa dengan Kolam Renang Dekat Pantai Pandawa,"Kecamatan Kuta Selatan, Bali, Indonesia",4.63,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.7,4.6,4.7,4.5,4.6,¥ 18.170,untuk 2 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/1279317857296504154?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177480912&source_impression_id=p3_1750361369_P32Lw2gw-Ygzljlt&previous_page_section_name=1000
1750361488-5,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Jelajahi Pantai Pandawa Dari Vila Kutuh Ini,"Kecamatan Kuta Selatan, Bali, Indonesia",4.81,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.8,5.0,4.8,4.6,4.8,¥ 22.585,untuk 2 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/1285159365310787875?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212914355&source_impression_id=p3_1750361369_P3eANE7lx386Ljev&previous_page_section_name=1000
1750361508-6,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Vila Kolam Renang Arsitektur Canggih di Nusa Dua,"Kecamatan Kuta Selatan, Bali, Indonesia",4.38,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.4,4.4,4.9,4.2,4.5,4.5,¥ 28.628,untuk 2 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/1329311440374329866?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387927796&source_impression_id=p3_1750361369_P3CmPtBO8ljowQeL&previous_page_section_name=1000
1750361528-7,https://id.airbnb.com/wishlists/v/1625612909?view_only_token=496dbc19-0dfe-4d5d-b1c9-3e3c205ead7a,,,Kutuh's Quiet Verdant Room Near to Pandawa Beach,"Kecamatan Kuta Selatan, Bali, Indonesia",4.65,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.7,4.7,4.4,4.7,¥ 5.242,untuk 1 malam,4. Nusadua,,,,,,,,,,,,,,,,,,https://id.airbnb.com/rooms/1315681896884337452?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387928553&source_impression_id=p3_1750361369_P3PEThRxXeeACk-o&previous_page_section_name=1000
